buyCost,lowerBuy,lowestIndex,findhigherBuy
3.0,813,5,726
3.0,813,5,726
3.0,813,5,726
3.0,813,5,726
3.0,813,5,726
3.0,813,5,726
3.0,813,5,726
3.0,813,5,726
3.0,813,5,726
3.0,689,5,676
3.0,673,5,676
3.0,673,5,676
3.0,673,5,676
3.0,673,5,676
3.0,673,5,676
3.0,673,5,676
3.0,673,5,676
3.0,673,5,587
3.0,673,5,587
3.0,673,5,587
3.0,673,5,587
3.0,673,5,587
3.0,673,5,587
3.0,686,5,587
3.0,681,5,587
3.0,681,5,587
3.0,681,5,587
3.0,681,5,587
3.0,681,5,587
3.0,681,5,587
3.0,681,5,587
3.0,681,5,587
3.0,681,5,587
3.0,678,5,587
3.0,678,5,587
3.0,678,5,587
3.0,678,5,587
3.0,678,5,587
3.0,678,5,587
3.0,678,5,587
3.0,678,5,587
3.0,678,5,587
3.0,678,5,587
3.0,678,5,587
3.0,678,5,587
3.0,678,5,587
3.0,678,5,587
3.0,678,5,587
3.0,668,5,587
3.0,669,5,597
3.0,669,5,597
3.0,669,5,597
3.0,669,5,597
3.0,669,5,597
3.0,669,5,597
3.0,669,5,597
3.0,669,5,597
3.0,669,5,597
3.0,669,5,597
3.0,669,5,597
3.0,657,5,597
3.0,557,5,597
3.0,557,5,597
3.0,557,5,597
3.0,556,5,597
3.0,556,5,597
3.0,556,5,597
3.0,2342,5,597
3.0,556,5,597
3.0,556,5,597
3.0,556,5,597
3.0,556,5,597
2.5,292,4,1025
2.5,292,4,1025
2.5,292,4,1025
2.5,1192,4,1025
2.5,1202,4,1015
2.5,1213,4,1015
2.5,1213,4,1015
2.5,1213,4,1015
2.5,1210,4,1018
2.5,1210,4,1018
2.5,1210,4,1018
2.5,1210,4,1018
2.5,1210,4,1018
2.5,1207,4,1018
2.5,1207,4,1018
2.5,1412,4,1018
2.5,1126,4,1018
2.5,1126,4,1018
2.5,1326,4,1018
2.5,1326,4,1018
2.5,1326,4,1018
2.5,1326,4,1018
2.5,1326,4,1018
2.5,1326,4,1018
2.5,1326,4,1018
2.5,1326,4,1018
2.5,1326,4,1018
2.5,1325,4,1018
