buyCost,lowerBuy,lowestIndex,findhigherBuy
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,716,1,2973
1.0,324,1,2985
1.0,324,1,3985
1.0,324,1,3985
1.0,314,1,3935
1.0,314,1,3935
1.0,314,1,3935
1.0,314,1,3935
1.0,113,1,3935
1.0,113,1,3935
1.0,113,1,3935
1.0,113,1,3935
1.0,113,1,3935
1.0,113,1,3935
1.5,1533,2,2246
1.5,1533,2,2246
1.5,1533,2,2246
1.5,1533,2,2246
1.5,1533,2,2246
1.5,1533,2,2246
1.5,1533,2,2246
1.5,1533,2,2246
1.5,1533,2,2246
1.5,1533,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1532,2,2246
1.5,1519,2,2246
1.5,1519,2,2246
1.5,1519,2,2246
1.5,1519,2,2246
1.5,1519,2,2246
1.5,1519,2,2246
1.5,1519,2,2246
1.5,1519,2,2246
1.5,1519,2,2221
1.5,1519,2,2221
1.5,1519,2,2221
1.5,1519,2,2221
1.5,1516,2,2221
1.5,1516,2,2221
1.5,1516,2,2221
1.5,1516,2,2221
1.5,1516,2,2221
1.5,1516,2,2221
1.5,1716,2,2222
1.5,1716,2,2222
1.5,1716,2,2222
1.5,1708,2,2222
1.5,1708,2,2222
1.5,1708,2,2222
1.5,1708,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1703,2,2222
1.5,1753,2,2222
1.5,1753,2,2222
1.5,1753,2,2222
1.5,1753,2,2222
1.5,1753,2,2222
1.5,1753,2,2222
1.5,1753,2,2222
1.5,1752,2,2222
1.5,1752,2,2222
1.5,1749,2,2222
1.5,1749,2,2222
1.5,1749,2,2222
1.5,1749,2,2222
1.5,1749,2,2222
1.5,1749,2,2222
1.5,1749,2,2222
1.5,1749,2,2222
1.5,1749,2,2222
1.5,1749,2,2222
1.5,1749,2,2222
1.5,1749,2,2222
1.5,1749,2,2222
1.5,1749,2,2322
1.5,1749,2,2322
1.5,1749,2,2322
1.5,1749,2,2322
1.5,1749,2,2322
1.5,1749,2,2322
1.5,1749,2,2322
1.5,1749,2,2322
1.5,1749,2,2322
1.5,1744,2,2327
1.5,1744,2,2327
1.5,1744,2,2327
1.5,1744,2,2327
1.5,1744,2,2327
1.5,1744,2,2327
1.5,1744,2,2352
1.5,1744,2,2352
1.5,1754,2,2352
1.5,1754,2,2352
1.5,1753,2,2352
1.5,1743,2,2352
1.5,1743,2,2352
