buyCost,lowerBuy,lowestIndex,findhigherBuy
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,918,12,2862
6.5,902,12,2651
6.5,902,12,2651
6.5,902,12,2651
6.5,902,12,2651
6.5,902,12,2651
6.5,902,12,2651
6.5,902,12,2651
6.5,902,12,2651
6.5,902,12,2651
6.5,902,12,2651
6.5,902,12,2651
6.5,902,12,2651
6.5,887,12,2651
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,887,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,877,12,2652
6.5,876,12,2652
6.5,876,12,2652
6.5,876,12,2652
6.5,876,12,2652
6.5,876,12,2552
6.5,876,12,2552
6.5,876,12,2552
6.5,876,12,2552
6.5,876,12,2552
6.5,876,12,2552
6.5,876,12,2552
6.5,876,12,2552
6.5,876,12,2552
6.5,876,12,2552
6.5,876,12,2552
6.5,876,12,2552
6.5,876,12,2552
6.5,876,12,2552
6.5,776,12,2552
6.5,776,12,2652
6.5,776,12,2652
6.5,776,12,2652
6.5,776,12,2652
6.5,776,12,2652
6.5,766,12,2652
6.5,766,12,2652
6.5,766,12,2652
6.5,766,12,2652
6.5,766,12,2652
6.5,766,12,2652
6.5,766,12,2652
6.5,766,12,2652
6.5,766,12,2652
6.5,766,12,2652
6.5,766,12,2652
6.5,766,12,2652
6.5,766,12,2652
6.5,796,12,2652
6.5,796,12,2652
6.0,67,11,2546
6.0,67,11,2546
6.0,482,11,2546
6.0,482,11,2546
6.0,482,11,2546
6.0,482,11,2546
6.0,482,11,2546
6.0,537,11,2546
6.0,537,11,2546
6.0,537,11,2546
6.0,539,11,2546
6.0,539,11,2546
6.0,539,11,2346
6.0,339,11,2346
6.0,333,11,2346
6.0,333,11,2346
6.0,333,11,2346
6.0,1335,11,2346
6.0,1335,11,2346
5.5,910,10,2936
5.5,910,10,2936
5.5,910,10,2936
5.5,910,10,2986
5.5,910,10,2991
5.5,910,10,3506
5.5,910,10,3506
5.5,910,10,3506
5.5,910,10,3506
5.5,910,10,3526
5.5,910,10,3526
5.5,910,10,3526
5.5,910,10,3526
5.5,907,10,3536
5.5,907,10,3536
5.5,957,10,3535
5.5,957,10,3535
5.5,50,10,3535
5.5,50,10,3535
5.5,50,10,3535
5.5,50,10,3535
5.5,40,10,3235
5.5,40,10,3185
5.5,40,10,2904
5.5,40,10,2904
5.5,40,10,2904
5.5,40,10,2904
5.5,40,10,2904
6.0,1113,11,2575
6.0,1113,11,2575
6.0,1113,11,2575
6.0,1123,11,2575
6.0,1123,11,2575
6.0,1123,11,2575
6.0,1123,11,2575
6.0,1123,11,2575
6.0,1123,11,2575
6.0,1123,11,2575
6.0,1123,11,2575
5.5,150,10,2928
5.5,150,10,2928
5.5,150,10,2928
5.5,150,10,2938
5.5,150,10,2908
5.5,150,10,2908
5.5,150,10,2908
6.0,1133,11,2545
6.0,1133,11,2545
6.0,1133,11,2545
6.0,1130,11,2545
6.0,1130,11,2545
6.0,1125,11,2545
6.0,1130,11,1745
6.0,1130,11,1745
6.0,1130,11,1745
6.0,1130,11,1745
6.0,1130,11,1750
6.0,1130,11,1750
6.0,130,11,1750
6.0,130,11,1747
6.0,125,11,1747
6.0,125,11,1747
6.0,122,11,1745
6.0,122,11,1745
6.0,122,11,1745
6.0,122,11,1745
6.0,122,11,1745
6.0,122,11,1745
6.5,433,12,2214
6.5,433,12,2214
6.5,433,12,2214
6.5,433,12,2214
6.5,433,12,2214
6.5,433,12,2214
6.5,433,12,2214
6.5,433,12,2214
6.5,433,12,2214
7.0,339,13,3789
7.0,339,13,3789
7.0,339,13,3789
7.0,339,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3809
7.0,336,13,3909
7.0,336,13,3909
7.0,336,13,3909
7.0,336,13,3909
6.5,1,12,2211
6.5,1,12,2211
6.5,1,12,2211
6.5,1,12,2211
6.5,1001,12,2211
6.5,1001,12,2211
6.5,1001,12,2211
6.5,1001,12,1786
6.5,1101,12,1786
6.5,1101,12,1786
6.5,1101,12,1786
6.5,1201,12,1786
6.5,1201,12,1786
6.5,1201,12,1786
6.5,1201,12,1786
6.5,1202,12,1786
6.5,1202,12,1786
6.5,1202,12,1786
6.5,1202,12,1786
6.5,1202,12,1786
6.5,1202,12,1786
6.5,1202,12,1786
6.5,1202,12,1786
6.5,1202,12,1786
6.5,1161,12,1786
6.5,1161,12,1786
6.5,1161,12,1786
6.5,1161,12,1786
6.5,1161,12,1786
6.5,1161,12,1786
6.5,1161,12,1786
6.5,1161,12,1786
6.5,1161,12,1786
6.5,1161,12,1786
6.5,1197,12,1786
6.5,1197,12,1786
6.5,1197,12,1786
6.5,1197,12,1786
6.5,1197,12,1786
6.5,1197,12,1786
6.5,1197,12,1786
6.5,1197,12,1786
6.5,1197,12,1786
6.5,1197,12,1786
6.5,1197,12,1786
6.5,1198,12,1786
6.5,1198,12,1786
6.5,1198,12,1786
6.5,1178,12,1786
6.5,1178,12,1786
6.5,1178,12,1786
6.5,1178,12,1786
6.5,1177,12,1786
6.5,1177,12,1786
6.5,1174,12,1786
6.5,1173,12,1786
6.5,1173,12,1786
6.5,1173,12,1786
6.5,1173,12,1786
6.5,1173,12,1786
6.5,1176,12,1786
6.5,1176,12,1786
6.5,1177,12,1786
6.5,1180,12,1786
6.5,1180,12,1786
6.5,1180,12,1786
6.5,1180,12,1786
6.5,980,12,1786
6.5,970,12,1786
6.5,970,12,1786
6.5,970,12,1786
6.5,970,12,1786
6.5,970,12,1786
6.5,970,12,1821
6.5,970,12,1821
6.5,970,12,1821
6.5,970,12,1821
6.5,970,12,1821
6.5,970,12,1821
6.5,970,12,1821
6.5,1070,12,1821
6.5,1070,12,1821
6.5,1070,12,1821
6.5,1070,12,1818
6.5,1070,12,1818
6.5,970,12,1818
6.5,970,12,1818
6.5,970,12,1818
6.5,970,12,1818
6.5,970,12,1818
6.5,970,12,1818
6.5,970,12,1818
6.5,970,12,1818
6.5,970,12,1818
6.5,970,12,1818
6.5,970,12,1818
6.5,985,12,1718
6.5,985,12,1718
6.5,986,12,1718
6.5,986,12,1718
6.5,986,12,1718
6.5,986,12,1718
6.5,956,12,1718
6.5,956,12,1718
6.5,948,12,1718
6.5,948,12,1718
6.5,948,12,1718
6.5,948,12,1718
6.5,948,12,1818
6.5,948,12,1818
6.5,945,12,1818
6.5,945,12,1818
6.5,945,12,1818
6.5,945,12,1818
6.5,925,12,1818
6.5,915,12,1818
6.5,915,12,1818
6.5,864,12,1818
6.5,964,12,1818
6.5,964,12,1818
6.5,964,12,1818
6.5,964,12,1818
6.5,964,12,1818
6.5,964,12,1818
6.5,964,12,1818
6.5,964,12,1818
6.5,954,12,1818
6.5,954,12,1818
6.5,854,12,1818
6.5,854,12,1818
6.5,851,12,1818
6.5,851,12,1818
6.5,851,12,1818
6.5,851,12,1818
6.5,851,12,1818
6.5,851,12,1818
6.5,831,12,1818
6.5,831,12,1818
6.5,826,12,1818
6.5,825,12,1818
6.5,825,12,1818
6.5,724,12,1818
6.5,724,12,1818
6.5,724,12,1818
6.5,774,12,1818
6.5,774,12,1818
6.5,774,12,1818
6.5,773,12,1818
6.0,413,11,1689
6.0,413,11,1689
6.0,613,11,1690
6.0,610,11,1690
6.0,510,11,1690
6.0,712,11,1690
6.0,712,11,1690
6.0,712,11,1690
6.0,712,11,1690
6.0,712,11,1689
6.0,712,11,1689
6.0,712,11,1689
6.0,712,11,1691
6.0,712,11,1691
6.0,712,11,1691
6.0,712,11,1693
6.0,712,11,1694
6.0,712,11,1694
6.0,779,11,1694
6.0,679,11,1694
6.0,679,11,1694
6.0,679,11,1694
6.0,679,11,1694
6.0,678,11,1694
6.0,678,11,1694
6.0,680,11,1694
6.0,680,11,1694
6.0,680,11,1691
6.0,680,11,1691
6.0,679,11,1941
6.0,679,11,1941
6.0,679,11,1941
6.0,679,11,1941
6.0,679,11,1941
6.0,479,11,1940
6.0,479,11,1940
6.0,479,11,1940
6.0,479,11,1940
6.0,477,11,1940
6.0,477,11,1940
6.0,472,11,1940
6.0,471,11,1940
6.0,471,11,1940
6.0,469,11,1940
6.0,469,11,1940
6.0,469,11,1940
6.0,466,11,1939
6.0,466,11,1944
6.0,466,11,1944
6.0,461,11,1944
6.0,463,11,1944
6.0,463,11,1944
6.0,462,11,1944
6.0,462,11,1944
6.0,462,11,1944
6.0,462,11,1944
6.0,461,11,1944
6.0,461,11,1944
6.0,461,11,1944
6.0,461,11,1945
6.0,461,11,1945
6.0,461,11,1945
6.0,461,11,1945
6.0,461,11,1945
6.0,461,11,1945
6.0,461,11,1945
6.0,461,11,1945
6.0,461,11,1995
6.0,461,11,1995
6.0,461,11,1995
6.0,461,11,1995
6.0,456,11,1995
6.0,456,11,2045
6.0,456,11,2045
6.0,456,11,2045
6.0,456,11,2045
6.0,456,11,2045
6.0,455,11,2045
6.0,455,11,2045
6.0,454,11,2045
6.0,454,11,2045
6.0,454,11,2045
6.0,459,11,2045
6.0,459,11,2045
6.0,459,11,2045
6.0,429,11,2045
6.0,429,11,2045
6.0,429,11,2045
6.0,429,11,2045
6.0,379,11,2045
6.0,379,11,2045
6.0,379,11,2045
6.0,379,11,2045
6.0,379,11,2045
6.0,379,11,2045
6.0,379,11,2045
6.0,379,11,2045
6.0,379,11,2045
6.0,379,11,2045
6.0,379,11,2045
6.0,379,11,2045
6.0,394,11,2045
6.0,394,11,2045
6.0,394,11,2045
6.0,404,11,2045
6.0,404,11,2045
6.0,404,11,2045
6.0,254,11,2045
6.0,254,11,2045
6.0,254,11,2045
6.0,254,11,2045
6.0,254,11,2045
6.0,254,11,2023
6.0,254,11,2023
6.0,254,11,2023
6.0,263,11,1888
6.0,263,11,1888
6.0,263,11,1888
6.0,263,11,1888
6.0,263,11,1888
6.0,463,11,1888
6.0,463,11,1888
6.0,453,11,1898
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1908
6.0,453,11,1911
6.0,453,11,1911
6.0,453,11,1911
6.0,453,11,1923
6.0,453,11,1923
6.0,453,11,1923
6.0,453,11,1923
6.0,453,11,1923
6.0,453,11,1923
6.0,453,11,1923
6.0,453,11,1923
6.0,453,11,1923
6.0,453,11,1923
5.5,255,10,2033
5.5,255,10,2033
