buyCost,lowerBuy,lowestIndex,findhigherBuy
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.5,87,14,4416
7.0,1685,13,2590
7.0,1685,13,2590
7.0,1685,13,2592
7.0,1685,13,2592
7.0,1685,13,2592
7.0,1685,13,2592
7.0,1675,13,2592
7.0,1675,13,2592
7.0,1675,13,2592
7.0,1675,13,2492
7.0,1675,13,2492
7.0,1670,13,2492
7.0,1670,13,2492
7.0,1670,13,2492
7.0,1670,13,2492
7.0,1670,13,2492
7.0,1670,13,2492
7.0,1670,13,2492
7.0,1670,13,2492
7.0,1671,13,2492
7.0,1671,13,2492
7.0,1671,13,2492
7.0,1672,13,2492
7.0,1672,13,2492
7.0,1682,13,2492
7.0,1682,13,2492
7.0,1682,13,2499
7.0,1682,13,2499
7.0,1672,13,2499
7.0,1672,13,2524
7.0,1672,13,2524
7.0,1672,13,2524
7.0,1572,13,2074
7.0,572,13,2074
7.0,572,13,2074
7.0,572,13,2074
7.0,572,13,2074
7.0,572,13,2074
7.0,572,13,2074
7.0,573,13,2074
7.0,573,13,2074
7.0,578,13,2074
7.0,578,13,2074
7.0,1028,13,2074
7.0,1028,13,2074
7.0,1028,13,2074
7.0,1028,13,2074
7.0,1027,13,2074
7.0,1027,13,2074
7.0,1027,13,2074
7.0,1027,13,2074
7.0,1027,13,2074
7.0,1009,13,2074
7.0,1009,13,2074
7.0,1009,13,2074
7.0,1009,13,2074
7.0,1008,13,2074
7.0,1008,13,2074
7.0,1008,13,2074
7.0,1008,13,2074
7.0,1008,13,2074
7.0,1008,13,2074
7.0,1008,13,2074
7.0,1008,13,2074
7.0,501,13,2074
7.0,501,13,2074
7.0,501,13,2074
7.0,501,13,2074
7.0,501,13,2074
7.0,501,13,2074
7.0,501,13,2074
7.0,501,13,3074
7.0,495,13,3074
7.0,595,13,3074
7.0,595,13,3074
7.0,595,13,3074
7.0,594,13,3074
7.0,594,13,3074
7.0,594,13,3074
7.0,594,13,3074
7.0,594,13,3074
7.0,594,13,3074
7.0,592,13,3074
7.0,597,13,3074
7.0,579,13,3074
7.0,579,13,3074
7.0,579,13,2924
7.0,579,13,2924
7.0,50,13,2924
7.0,50,13,2924
7.0,50,13,2924
7.0,50,13,2924
7.0,50,13,2924
7.0,50,13,2924
7.0,50,13,2974
7.0,50,13,2974
7.0,50,13,2974
7.0,50,13,2974
7.0,50,13,2974
7.0,50,13,2974
7.0,50,13,2974
7.0,49,13,2974
7.0,49,13,2974
7.0,49,13,2974
7.0,123,13,2974
7.0,123,13,2974
7.0,123,13,2974
7.0,123,13,2974
7.0,113,13,2974
7.0,113,13,2974
7.0,113,13,2974
7.0,113,13,2974
7.0,113,13,2974
7.0,113,13,2974
7.0,113,13,2974
7.0,63,13,2974
7.0,64,13,2974
7.0,64,13,2974
7.0,64,13,2974
6.5,3,12,2554
6.5,3,12,2754
6.5,3,12,2754
6.5,3,12,2754
6.5,750,12,2756
6.5,975,12,2756
6.5,975,12,2756
6.5,975,12,3156
6.5,975,12,3156
6.5,1850,12,3156
6.5,1850,12,3156
6.5,1850,12,3156
6.5,1850,12,3206
6.5,1850,12,3206
6.5,1850,12,3207
