buyCost,lowerBuy,lowestIndex,findhigherBuy
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
5.0,1650,9,2033
4.5,762,8,3556
4.5,762,8,3556
4.5,762,8,3556
4.5,762,8,3556
4.5,762,8,3556
4.5,762,8,3556
4.5,762,8,3456
4.5,762,8,3456
4.5,762,8,3456
4.5,762,8,3456
4.5,765,8,2632
4.5,64,8,2636
4.5,64,8,2636
4.5,64,8,2636
4.5,214,8,2486
4.5,214,8,2486
4.5,213,8,2486
5.0,818,9,1910
5.0,818,9,1910
5.0,818,9,1910
5.0,818,9,1910
5.0,818,9,1910
5.0,818,9,1910
5.0,818,9,1885
5.0,818,9,1885
5.0,818,9,1885
5.0,818,9,1885
5.0,818,9,1885
5.0,818,9,1885
5.0,818,9,1885
5.0,818,9,1885
5.0,768,9,1885
5.0,768,9,1885
5.0,778,9,1935
5.0,778,9,1935
5.0,778,9,1935
5.0,778,9,1539
5.0,778,9,1539
5.0,778,9,1539
5.0,778,9,1539
5.0,759,9,1539
5.0,59,9,1539
5.0,59,9,1539
5.0,59,9,1539
5.0,58,9,1539
5.0,58,9,1539
5.0,58,9,1539
5.0,58,9,1539
5.0,58,9,1539
5.0,58,9,1539
5.0,58,9,1539
5.0,53,9,1539
5.0,43,9,1539
5.0,42,9,1539
5.0,42,9,1539
5.0,42,9,1539
5.0,42,9,1539
5.0,42,9,1539
5.0,42,9,1539
5.0,42,9,1539
5.0,42,9,1539
5.0,39,9,1539
5.0,39,9,1539
5.0,39,9,1539
5.0,36,9,1539
5.0,36,9,1539
5.0,36,9,1539
5.0,36,9,1539
5.0,36,9,1539
5.0,36,9,1539
5.5,146,10,1630
5.5,146,10,1630
5.5,146,10,1630
5.5,146,10,1630
5.5,146,10,1630
5.5,146,10,1630
5.5,146,10,1630
5.5,146,10,1630
5.0,49,9,1525
5.0,49,9,1525
5.0,49,9,1525
5.0,49,9,1525
5.0,48,9,1525
5.0,48,9,1525
5.0,48,9,1525
5.0,48,9,1525
5.0,49,9,1775
5.0,49,9,1775
5.0,49,9,1775
5.0,49,9,1775
5.0,49,9,1775
4.5,686,8,1589
4.5,1136,8,1589
4.5,1136,8,1589
4.5,1136,8,1589
4.5,269,8,1951
4.5,269,8,2775
4.5,269,8,2775
4.5,267,8,2775
4.5,267,8,2775
4.5,267,8,2775
4.5,267,8,2775
4.5,267,8,2775
4.5,267,8,2775
4.5,267,8,2775
4.5,267,8,2775
4.5,93,8,2795
4.5,93,8,2795
4.5,93,8,2795
4.5,93,8,2795
4.5,93,8,2795
4.5,89,8,2795
4.5,89,8,2795
4.5,89,8,2795
4.5,89,8,2795
4.5,89,8,2795
4.5,89,8,2795
5.0,1235,9,1696
5.0,1235,9,1696
5.0,1235,9,1696
5.0,1235,9,1696
5.0,1235,9,1696
5.0,1235,9,1696
5.0,1235,9,1696
5.0,1738,9,1702
5.0,914,9,1702
5.0,914,9,1702
5.0,914,9,1702
5.0,914,9,1702
5.0,909,9,1702
5.0,909,9,1702
5.0,909,9,1702
5.0,909,9,1702
5.0,909,9,1702
5.0,651,9,1707
5.5,146,10,1812
5.5,146,10,1812
5.5,146,10,1812
5.5,146,10,1812
5.5,146,10,1562
5.5,146,10,1562
5.5,146,10,1815
5.5,146,10,1815
5.5,146,10,1815
5.5,146,10,1815
5.5,146,10,1815
5.5,146,10,1815
6.0,1022,11,1284
6.0,1022,11,1284
6.0,1022,11,1284
6.0,1022,11,1284
6.0,1022,11,1284
6.0,1022,11,1284
6.0,1022,11,1284
6.0,1022,11,1284
6.0,1017,11,1284
6.0,1017,11,1284
6.0,1017,11,1284
6.0,1017,11,1284
6.0,1017,11,1284
6.0,1017,11,1284
6.0,1017,11,1284
6.0,1017,11,1284
6.0,1017,11,1284
6.0,1017,11,1284
6.0,1017,11,1284
6.0,1017,11,1284
6.0,1017,11,1284
6.0,1017,11,1285
6.0,1017,11,1285
6.0,1017,11,1285
6.0,1017,11,1285
6.0,1017,11,1285
6.0,967,11,1285
6.0,967,11,1285
6.0,967,11,1285
6.0,967,11,1285
6.0,967,11,1285
6.0,957,11,1285
6.0,957,11,1285
6.0,957,11,1285
6.0,1205,11,1285
6.0,1205,11,1285
6.0,1205,11,1285
6.0,1205,11,1285
6.0,1205,11,1285
6.0,1200,11,1285
6.0,1200,11,1285
6.0,824,11,1285
6.0,824,11,1285
6.0,824,11,1285
6.5,250,12,1225
6.5,250,12,1225
6.5,250,12,1225
6.5,250,12,1225
6.5,250,12,1225
6.5,250,12,1225
6.5,250,12,1225
6.5,250,12,1225
6.5,250,12,1225
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.0,144,13,1747
7.5,251,14,2414
7.5,251,14,2414
7.5,251,14,2414
7.5,251,14,2414
7.5,251,14,2414
7.5,246,14,3414
7.5,246,14,3414
7.5,246,14,3429
7.5,246,14,3429
7.5,246,14,3429
8.0,62,15,2775
8.0,62,15,2775
8.0,62,15,2775
8.0,62,15,3614
8.0,62,15,3614
8.0,62,15,3614
8.0,62,15,3614
8.0,62,15,3614
8.0,62,15,3614
8.0,62,15,3614
8.0,62,15,3614
8.0,62,15,3614
8.5,190,16,3424
8.5,190,16,3424
8.5,190,16,3424
8.5,190,16,3424
8.5,190,16,3424
8.5,190,16,3424
8.5,190,16,3424
8.5,190,16,3424
8.5,190,16,3424
8.5,190,16,3424
8.5,190,16,4424
8.5,190,16,4424
8.5,190,16,4424
8.5,190,16,4424
8.5,190,16,4424
8.5,190,16,4424
8.5,140,16,4424
8.5,140,16,4424
8.5,364,16,4424
8.5,364,16,4424
8.5,364,16,4424
8.5,364,16,4424
8.0,1,15,5248
8.0,1,15,5248
8.0,102,15,5248
8.0,102,15,5248
8.0,102,15,5248
8.0,168,15,5375
8.0,168,15,5375
8.0,168,15,5375
8.0,158,15,5375
8.0,158,15,5495
8.0,168,15,5495
8.0,163,15,5495
8.0,163,15,5495
8.0,154,15,5495
8.0,154,15,5495
8.0,144,15,5495
8.0,144,15,5495
8.0,144,15,5495
8.0,144,15,5495
8.0,144,15,5495
8.0,144,15,5495
8.0,119,15,5495
8.0,129,15,5495
8.0,129,15,5595
8.0,128,15,5595
8.0,128,15,5595
8.0,128,15,5595
8.0,128,15,5595
8.0,127,15,5595
8.0,127,15,5595
8.0,125,15,5595
8.0,125,15,5595
8.0,125,15,5595
8.0,126,15,5595
8.0,106,15,5595
8.0,106,15,5595
8.0,60,15,4428
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,2,16,4426
8.5,725,16,3587
8.5,725,16,3587
8.5,726,16,3587
8.5,1665,16,3587
8.5,1763,16,3587
8.5,1764,16,3587
8.5,1764,16,3587
8.5,1764,16,3587
8.5,792,16,3587
8.5,1792,16,2587
8.5,1788,16,2587
8.5,1788,16,2587
8.5,1788,16,2587
8.5,1788,16,2587
8.5,1789,16,2567
8.5,1789,16,2567
8.5,1789,16,2567
8.5,1789,16,2567
8.5,1226,16,2567
8.5,1226,16,2567
8.5,1226,16,2567
8.5,1226,16,2567
8.5,1176,16,2567
8.5,1176,16,2567
8.5,1176,16,2591
8.5,1176,16,2591
8.5,1176,16,2591
8.5,1176,16,2591
8.5,1159,16,2607
8.5,909,16,2612
8.5,912,16,2862
8.5,912,16,2862
8.5,912,16,2862
8.5,899,16,2862
8.5,899,16,2862
8.5,899,16,2862
