buyCost,lowerBuy,lowestIndex,findhigherBuy
2.0,348,3,918
2.0,348,3,918
2.0,348,3,918
2.0,348,3,918
2.0,348,3,918
2.0,348,3,918
2.0,348,3,918
2.0,348,3,918
2.0,348,3,918
2.0,185,3,918
2.0,179,3,918
2.0,79,3,918
2.0,79,3,918
2.0,79,3,918
2.0,78,3,918
2.5,266,4,458
2.5,266,4,458
2.5,266,4,458
2.5,265,4,458
2.5,265,4,458
2.5,265,4,458
2.5,265,4,458
2.5,265,4,458
2.5,265,4,458
2.5,264,4,458
2.5,264,4,458
2.5,264,4,458
2.5,264,4,458
2.5,264,4,458
2.5,264,4,458
2.5,265,4,458
2.5,265,4,458
2.5,265,4,458
2.5,265,4,458
2.5,265,4,458
2.5,264,4,458
2.5,264,4,458
2.5,264,4,458
2.5,263,4,458
2.5,263,4,458
2.5,263,4,458
2.5,263,4,458
2.5,263,4,458
2.5,263,4,458
2.5,263,4,458
2.5,263,4,458
2.5,263,4,458
2.5,263,4,458
2.5,263,4,458
2.5,263,4,458
2.0,5,3,593
2.0,5,3,1243
2.0,5,3,1243
2.5,263,4,1108
2.5,263,4,1108
2.5,253,4,1108
2.5,253,4,1108
2.5,253,4,1068
2.5,253,4,1068
2.5,253,4,1068
2.5,253,4,1068
2.5,253,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,252,4,1068
2.5,282,4,1068
2.5,282,4,1068
2.5,282,4,1068
2.5,282,4,1068
2.5,282,4,1068
2.5,282,4,1068
2.5,271,4,1068
2.5,260,4,1068
2.5,259,4,1068
2.5,259,4,1068
2.5,259,4,1068
2.5,259,4,1068
2.5,259,4,1068
2.5,259,4,1068
2.5,259,4,1068
2.5,249,4,1068
2.0,437,3,1199
